velikost_m2,leto_izgradnje,tip,cena_€
"64,3",1935,3-sobno,"315.000,00"
"64,3",1968,2-sobno,"279.000,00"
"330,5",1959,,"978.000,00"
"52,2",1946,2-sobno,"349.000,00"
"67,1",1958,5-sobno,"355.000,00"
77,1959,5-sobno,"365.000,00"
"168,1",2003,4-sobno,"745.000,00"
94,2006,5-sobno,"575.000,00"
"77,6",1963,3-sobno,"369.000,00"
"77,6",1963,3-sobno,"399.000,00"
155,2026,,"550.000,00"
"61,3",1970,2-sobno,"290.000,00"
58,1928,2-sobno,"240.000,00"
"76,4",1964,3-sobno,"385.000,00"
87,1840,3-sobno,"368.000,00"
"87,5",1900,3-sobno,"319.000,00"
"88,1",1834,4-sobno,"428.000,00"
"102,5",1902,3-sobno,"375.000,00"
"130,2",1925,5-sobno,"439.000,00"
63,2015,2-sobno,"345.000,00"
57,1965,5-sobno,"359.000,00"
,,,"790.000,00"
"205,3",2021,4-sobno,"790.000,00"
"239,3",2023,4-sobno,"849.000,00"
"239,3",2023,4-sobno,"949.000,00"
"248,8",2023,3-sobno,"595.000,00"
"68,2",1876,2-sobno,"630.000,00"
"68,2",1876,2-sobno,"661.500,00"
"71,44",1876,2-sobno,"764.925,00"
"72,24",1876,2-sobno,"728.500,00"
"80,1",2022,2-sobno,"1.150.000,00"
100,2019,3-sobno,"799.000,00"
"106,76",1876,3-sobno,"902.000,00"
132,1700,,"595.000,00"
"134,61",1876,4-sobno,"1.417.500,00"
160,1755,4-sobno,"980.000,00"
188,1898,,"820.000,00"
325,1630,,"1.490.000,00"
58,1976,1-sobno,"295.000,00"
106,2009,4-sobno,"825.000,00"
"66,65",1990,5-sobno,"380.000,00"
90,1972,5-sobno,"450.000,00"
"90,7",1984,4-sobno,"395.000,00"
"37,1",1969,5-sobno,"231.000,00"
35,1973,1-sobno,"240.000,00"
68,1977,5-sobno,"359.900,00"
"183,3",1971,3-sobno,"549.000,00"
,,,"170.000,00"
22,1977,garsonjera,"170.000,00"
"23,3",1977,garsonjera,"170.000,00"
"62,2",1976,2-sobno,"349.000,00"
"64,7",1944,4-sobno,"180.000,00"
"67,8",1870,2-sobno,"335.000,00"
85,1975,3-sobno,"390.000,00"
85,1975,3-sobno,"390.000,00"
13,1963,,"50.000,00"
"29,9",1895,1-sobno,"210.000,00"
"41,6",1958,2-sobno,"280.000,00"
"64,5",1960,3-sobno,"370.000,00"
112,1909,4-sobno,"589.000,00"
"94,2",2012,3-sobno,"759.000,00"
"188,9",1907,5-sobno,"485.000,00"
175,1931,3-sobno,"430.000,00"
54,1890,2-sobno,"187.000,00"
"42,5",1992,2-sobno,"315.000,00"
"63,2",1940,2-sobno,"300.000,00"
"66,2",1968,3-sobno,"375.000,00"
"74,49",1981,5-sobno,"499.000,00"
"74,49",1981,5-sobno,"499.000,00"
"74,49",1981,5-sobno,"499.000,00"
"74,5",1981,5-sobno,"499.000,00"
"74,5",1981,5-sobno,"500.000,00"
"81,7",1935,3-sobno,"379.000,00"
,,,"514.189,00"
98,2026,3-sobno,"514.189,00"
102,1986,2-sobno,"610.000,00"
"151,7",2026,3-sobno,"581.157,00"
"193,5",1930,penthouse,"1.376.000,00"
"298,4",2005,5-sobno,"3.200.000,00"
"83,2",1938,4-sobno,"595.000,00"
"59,4",1992,2-sobno,"343.000,00"
120,1967,3-sobno,"359.000,00"
200,2000,,"500.000,00"
"74,49",1981,3-sobno,"499.000,00"
"74,49",1981,5-sobno,"499.000,00"
"28,8",1960,1-sobno,"213.000,00"
"39,4",1900,5-sobno,"169.000,00"
"39,4",1900,1-sobno,"169.000,00"
"63,9",2006,2-sobno,"365.000,00"
"63,9",2006,2-sobno,"365.000,00"
87,1968,4-sobno,"485.000,00"
"87,4",1920,5-sobno,"370.000,00"
"100,5",1967,4-sobno,"485.000,00"
"104,2",1979,4-sobno,"551.000,00"
"44,29",2005,1-sobno,"240.000,00"
